Início dos relatórios;Término dos relatórios;Nome da campanha;Alcance;Impressões;CPM (custo por 1.000 impressões) (BRL);Cliques no link;CPC (custo por clique no link) (BRL);Visualizações da página de destino;Custo por visualização da página de destino (BRL);Adições ao carrinho;Custo por adição ao carrinho (BRL);Valor de conversão de adições ao carrinho;Valor usado (BRL)
2025-04-01;2025-04-30;[GUS] [ECOM];1071;1275;26,63;11;3,09;6;5,66;1;33,95;85,00;33,95
2025-04-01;2025-04-30;[GUS] [ECOM];14417;37710;17,74;286;2,34;213;3,14;16;41,81;3013,00;668,95
2025-04-01;2025-04-30;[GUS] [ECOM];18938;37898;27,27;331;3,12;295;3,50;29;35,64;4419,00;1033,45
2025-04-01;2025-04-30;[GUS] [INSTITUTO];9141;36936;19,16;205;3,45;150;4,72;10;70,76;2248,00;707,56
